date,state,fips,cases,deaths,POPESTIMATE2019
2020-03-13,Alabama,1,6,0,4903185
2020-03-14,Alabama,1,12,0,4903185
2020-03-15,Alabama,1,23,0,4903185
2020-03-16,Alabama,1,29,0,4903185
2020-03-17,Alabama,1,39,0,4903185
2020-03-18,Alabama,1,51,0,4903185
2020-03-19,Alabama,1,78,0,4903185
2020-03-20,Alabama,1,106,0,4903185
2020-03-21,Alabama,1,131,0,4903185
2020-03-22,Alabama,1,157,0,4903185
2020-03-23,Alabama,1,196,0,4903185
2020-03-24,Alabama,1,242,0,4903185
2020-03-25,Alabama,1,386,1,4903185
2020-03-26,Alabama,1,538,3,4903185
2020-03-27,Alabama,1,639,4,4903185
2020-03-28,Alabama,1,720,4,4903185
2020-03-29,Alabama,1,830,5,4903185
2020-03-30,Alabama,1,947,11,4903185
2020-03-31,Alabama,1,999,13,4903185
2020-04-01,Alabama,1,1106,28,4903185
2020-04-02,Alabama,1,1270,32,4903185
2020-04-03,Alabama,1,1535,38,4903185
2020-04-04,Alabama,1,1632,44,4903185
2020-04-05,Alabama,1,1840,45,4903185
2020-04-06,Alabama,1,2005,53,4903185
2020-04-07,Alabama,1,2197,64,4903185
2020-04-08,Alabama,1,2498,67,4903185
2020-04-09,Alabama,1,2838,78,4903185
2020-04-10,Alabama,1,3008,80,4903185
2020-04-11,Alabama,1,3262,93,4903185
2020-04-12,Alabama,1,3583,93,4903185
2020-04-13,Alabama,1,3805,104,4903185
2020-04-14,Alabama,1,3953,114,4903185
2020-04-15,Alabama,1,4241,123,4903185
2020-04-16,Alabama,1,4404,137,4903185
2020-04-17,Alabama,1,4572,151,4903185
2020-04-18,Alabama,1,4723,147,4903185
2020-04-19,Alabama,1,4903,160,4903185
2020-04-20,Alabama,1,5078,164,4903185
2020-04-21,Alabama,1,5327,186,4903185
2020-04-22,Alabama,1,5610,201,4903185
2020-04-23,Alabama,1,5832,197,4903185
2020-04-24,Alabama,1,6026,209,4903185
2020-04-25,Alabama,1,6213,213,4903185
2020-04-26,Alabama,1,6421,219,4903185
2020-04-27,Alabama,1,6539,228,4903185
2020-04-28,Alabama,1,6750,242,4903185
2020-04-29,Alabama,1,6925,262,4903185
2020-04-30,Alabama,1,7068,272,4903185
2020-05-01,Alabama,1,7294,289,4903185
2020-05-02,Alabama,1,7611,288,4903185
2020-05-03,Alabama,1,7888,290,4903185
2020-05-04,Alabama,1,8112,298,4903185
2020-05-05,Alabama,1,8437,315,4903185
2020-05-06,Alabama,1,8691,343,4903185
2020-05-07,Alabama,1,9046,369,4903185
2020-05-08,Alabama,1,9385,383,4903185
2020-05-09,Alabama,1,9668,390,4903185
2020-05-10,Alabama,1,9889,393,4903185
2020-05-11,Alabama,1,10164,403,4903185
